province,year,crop_name,area,production,yield,q_cv_group,q_area_coverage,q_n_regions_used,q_n_expected_regions,q_n_missing_regions,q_n_structural_zero_regions,q_source_status,q_apy_incoherent,q_calculated_region
Ancona,2022,Grain maize,996.0,8964.0,9.0,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2022,Soft wheat,3302.0,9906.0,3.0,Ancona,1.0,1,1,0,0,complete,False,False
Area vasta Sud Sardegna,1995,Durum wheat,49974.56,27688.52,0.5540523018111616,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,1995,Grain maize,1095.4199999999998,7660.6900000000005,6.993381534023481,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,1996,Durum wheat,48425.68,116894.36,2.413891968063226,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,1996,Grain maize,1497.77,10521.56,7.024816894449748,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,1997,Durum wheat,49968.77,42511.229999999996,0.8507559821864736,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,1997,Grain maize,1500.18,13047.79,8.697482968710421,SARDEGNA,1.0,3,3,0,0,complete,True,True
Area vasta Sud Sardegna,1998,Durum wheat,49469.92,107381.67000000001,2.170645717640134,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,1998,Grain maize,1621.62,11679.58,7.202414869081537,SARDEGNA,1.0,3,3,0,0,complete,True,True
Area vasta Sud Sardegna,1999,Durum wheat,50772.32,83379.03,1.6422143010207135,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,1999,Grain maize,1524.49,11679.58,7.6613031243235445,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2000,Durum wheat,52737.78,46848.25,0.8883242715184446,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2000,Grain maize,290.47,1509.77,5.197679622680483,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2001,Durum wheat,52776.700000000004,76338.2,1.446437537777087,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2001,Grain maize,337.39,1898.6599999999999,5.62749340525801,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2002,Durum wheat,60796.69,53404.38,0.8784093344555435,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2002,Grain maize,290.59,1623.74,5.587735297154066,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2003,Durum wheat,56217.66,58997.86,1.0494542106519553,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2003,Grain maize,306.2,1648.96,5.385238406270412,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2004,Durum wheat,56605.659999999996,115028.83,2.032108273271613,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2004,Grain maize,310.33,1684.6200000000001,5.428479360680567,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2005,Durum wheat,55112.26,70270.88,1.2750498709361584,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2005,Grain maize,310.95,1693.3700000000001,5.445795143913813,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2006,Durum wheat,42670.86,54809.12,1.2844625114187997,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2006,Grain maize,308.96,1677.05,5.4280489383739,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2007,Durum wheat,42147.39,60338.66,1.4316108304689805,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2007,Grain maize,310.15000000000003,1348.74,4.3486699983878765,SARDEGNA,1.0,3,3,0,0,complete,False,True
Area vasta Sud Sardegna,2008,Durum wheat,44208.0,95047.3,2.150002262034021,SARDEGNA,1.0,3,3,0,0,complete,False,False
Area vasta Sud Sardegna,2008,Grain maize,591.0,3516.5,5.950084602368866,SARDEGNA,1.0,3,3,0,0,complete,False,False
Area vasta Sud Sardegna,2008,Soft wheat,132.0,237.60000000000002,1.8000000000000003,SARDEGNA,0.9999999999999999,3,3,0,0,complete,False,False
Area vasta Sud Sardegna,2009,Durum wheat,11530.0,19367.4,1.6797398091934086,SARDEGNA,0.4410739511847982,1,3,2,0,missing_source_data,False,False
Area vasta Sud Sardegna,2009,Grain maize,59.0,320.1,5.42542372881356,SARDEGNA,1.0,3,3,0,0,complete,False,False
Area vasta Sud Sardegna,2010,Durum wheat,29611.0,52680.9,1.7790989834858668,SARDEGNA,1.0,3,3,0,0,complete,False,False
